Date,Year,PeakDate,Bloom
1976-03-25,1976,03-25,1
1976-03-26,1976,03-26,1
1976-03-27,1976,03-27,1
1976-03-28,1976,03-28,1
1976-03-29,1976,03-29,1
1976-03-30,1976,03-30,1
1977-03-12,1977,03-12,1
1977-03-13,1977,03-13,1
1977-03-14,1977,03-14,1
1977-03-15,1977,03-15,1
1977-03-16,1977,03-16,1
1977-03-17,1977,03-17,1
1977-03-18,1977,03-18,1
1977-03-19,1977,03-19,1
1977-03-20,1977,03-20,1
1977-03-21,1977,03-21,1
1977-03-22,1977,03-22,1
1977-03-23,1977,03-23,1
1977-03-24,1977,03-24,1
1977-03-25,1977,03-25,1
1977-03-26,1977,03-26,1
1977-03-27,1977,03-27,1
1977-03-28,1977,03-28,1
1977-03-29,1977,03-29,1
1977-03-30,1977,03-30,1
1977-03-31,1977,03-31,1
1977-04-01,1977,04-01,1
1977-04-02,1977,04-02,1
1978-03-29,1978,03-29,1
1978-03-30,1978,03-30,1
1978-03-31,1978,03-31,1
1978-04-01,1978,04-01,1
1978-04-02,1978,04-02,1
1978-04-03,1978,04-03,1
1978-04-04,1978,04-04,1
1978-04-05,1978,04-05,1
1978-04-06,1978,04-06,1
1978-04-07,1978,04-07,1
1978-04-08,1978,04-08,1
1978-04-09,1978,04-09,1
1978-04-10,1978,04-10,1
1978-04-11,1978,04-11,1
1978-04-12,1978,04-12,1
1978-04-13,1978,04-13,1
1978-04-14,1978,04-14,1
1978-04-15,1978,04-15,1
1978-04-16,1978,04-16,1
1978-04-17,1978,04-17,1
1978-04-18,1978,04-18,1
1978-04-19,1978,04-19,1
1979-03-19,1979,03-19,1
1979-03-20,1979,03-20,1
1979-03-21,1979,03-21,1
1979-03-22,1979,03-22,1
1979-03-23,1979,03-23,1
1979-03-24,1979,03-24,1
1979-03-25,1979,03-25,1
1979-03-26,1979,03-26,1
1979-03-27,1979,03-27,1
1979-03-28,1979,03-28,1
1979-03-29,1979,03-29,1
1979-03-30,1979,03-30,1
1979-03-31,1979,03-31,1
1979-04-01,1979,04-01,1
1979-04-02,1979,04-02,1
1979-04-03,1979,04-03,1
1979-04-04,1979,04-04,1
1979-04-05,1979,04-05,1
1979-04-06,1979,04-06,1
1979-04-07,1979,04-07,1
1979-04-08,1979,04-08,1
1979-04-09,1979,04-09,1
1980-03-23,1980,03-23,1
1980-03-24,1980,03-24,1
1980-03-25,1980,03-25,1
1980-03-26,1980,03-26,1
1980-03-27,1980,03-27,1
1980-03-28,1980,03-28,1
1980-03-29,1980,03-29,1
1980-03-30,1980,03-30,1
1980-03-31,1980,03-31,1
1980-04-01,1980,04-01,1
1980-04-02,1980,04-02,1
1980-04-03,1980,04-03,1
1980-04-04,1980,04-04,1
1980-04-05,1980,04-05,1
1980-04-06,1980,04-06,1
1980-04-07,1980,04-07,1
1980-04-08,1980,04-08,1
1980-04-09,1980,04-09,1
1980-04-10,1980,04-10,1
1980-04-11,1980,04-11,1
1980-04-12,1980,04-12,1
1980-04-13,1980,04-13,1
1981-03-20,1981,03-20,1
1981-03-21,1981,03-21,1
1981-03-22,1981,03-22,1
1981-03-23,1981,03-23,1
1981-03-24,1981,03-24,1
1981-03-25,1981,03-25,1
1981-03-26,1981,03-26,1
1981-03-27,1981,03-27,1
1981-03-28,1981,03-28,1
1981-03-29,1981,03-29,1
1981-03-30,1981,03-30,1
1981-03-31,1981,03-31,1
1981-04-01,1981,04-01,1
1981-04-02,1981,04-02,1
1981-04-03,1981,04-03,1
1981-04-04,1981,04-04,1
1981-04-05,1981,04-05,1
1981-04-06,1981,04-06,1
1981-04-07,1981,04-07,1
1981-04-08,1981,04-08,1
1981-04-09,1981,04-09,1
1981-04-10,1981,04-10,1
1982-03-24,1982,03-24,1
1982-03-25,1982,03-25,1
1982-03-26,1982,03-26,1
1982-03-27,1982,03-27,1
1982-03-28,1982,03-28,1
1982-03-29,1982,03-29,1
1982-03-30,1982,03-30,1
1982-03-31,1982,03-31,1
1982-04-01,1982,04-01,1
1982-04-02,1982,04-02,1
1982-04-03,1982,04-03,1
1982-04-04,1982,04-04,1
1982-04-05,1982,04-05,1
1982-04-06,1982,04-06,1
1982-04-07,1982,04-07,1
1982-04-08,1982,04-08,1
1982-04-09,1982,04-09,1
1982-04-10,1982,04-10,1
1982-04-11,1982,04-11,1
1982-04-12,1982,04-12,1
1982-04-13,1982,04-13,1
1982-04-14,1982,04-14,1
1983-03-24,1983,03-24,1
1983-03-25,1983,03-25,1
1983-03-26,1983,03-26,1
1983-03-27,1983,03-27,1
1983-03-28,1983,03-28,1
1983-03-29,1983,03-29,1
1983-03-30,1983,03-30,1
1983-03-31,1983,03-31,1
1983-04-01,1983,04-01,1
1983-04-02,1983,04-02,1
1983-04-03,1983,04-03,1
1983-04-04,1983,04-04,1
1983-04-05,1983,04-05,1
1983-04-06,1983,04-06,1
1983-04-07,1983,04-07,1
1983-04-08,1983,04-08,1
1983-04-09,1983,04-09,1
1983-04-10,1983,04-10,1
1983-04-11,1983,04-11,1
1983-04-12,1983,04-12,1
1983-04-13,1983,04-13,1
1983-04-14,1983,04-14,1
1984-03-20,1984,03-20,1
1984-03-21,1984,03-21,1
1984-03-22,1984,03-22,1
1984-03-23,1984,03-23,1
1984-03-24,1984,03-24,1
1984-03-25,1984,03-25,1
1984-03-26,1984,03-26,1
1984-03-27,1984,03-27,1
1984-03-28,1984,03-28,1
1984-03-29,1984,03-29,1
1984-03-30,1984,03-30,1
1984-03-31,1984,03-31,1
1984-04-01,1984,04-01,1
1984-04-02,1984,04-02,1
1984-04-03,1984,04-03,1
1984-04-04,1984,04-04,1
1984-04-05,1984,04-05,1
1984-04-06,1984,04-06,1
1984-04-07,1984,04-07,1
1984-04-08,1984,04-08,1
1984-04-09,1984,04-09,1
1984-04-10,1984,04-10,1
1985-03-24,1985,03-24,1
1985-03-25,1985,03-25,1
1985-03-26,1985,03-26,1
1985-03-27,1985,03-27,1
1985-03-28,1985,03-28,1
1985-03-29,1985,03-29,1
1985-03-30,1985,03-30,1
1985-03-31,1985,03-31,1
1985-04-01,1985,04-01,1
1985-04-02,1985,04-02,1
1985-04-03,1985,04-03,1
1985-04-04,1985,04-04,1
1985-04-05,1985,04-05,1
1985-04-06,1985,04-06,1
1985-04-07,1985,04-07,1
1985-04-08,1985,04-08,1
1985-04-09,1985,04-09,1
1985-04-10,1985,04-10,1
1985-04-11,1985,04-11,1
1985-04-12,1985,04-12,1
1985-04-13,1985,04-13,1
1985-04-14,1985,04-14,1
1986-03-19,1986,03-19,1
1986-03-20,1986,03-20,1
1986-03-21,1986,03-21,1
1986-03-22,1986,03-22,1
1986-03-23,1986,03-23,1
1986-03-24,1986,03-24,1
1986-03-25,1986,03-25,1
1986-03-26,1986,03-26,1
1986-03-27,1986,03-27,1
1986-03-28,1986,03-28,1
1986-03-29,1986,03-29,1
1986-03-30,1986,03-30,1
1986-03-31,1986,03-31,1
1986-04-01,1986,04-01,1
1986-04-02,1986,04-02,1
1986-04-03,1986,04-03,1
1986-04-04,1986,04-04,1
1986-04-05,1986,04-05,1
1986-04-06,1986,04-06,1
1986-04-07,1986,04-07,1
1986-04-08,1986,04-08,1
1986-04-09,1986,04-09,1
1987-03-14,1987,03-14,1
1987-03-15,1987,03-15,1
1987-03-16,1987,03-16,1
1987-03-17,1987,03-17,1
1987-03-18,1987,03-18,1
1987-03-19,1987,03-19,1
1987-03-20,1987,03-20,1
1987-03-21,1987,03-21,1
1987-03-22,1987,03-22,1
1987-03-23,1987,03-23,1
1987-03-24,1987,03-24,1
1987-03-25,1987,03-25,1
1987-03-26,1987,03-26,1
1987-03-27,1987,03-27,1
1987-03-28,1987,03-28,1
1987-03-29,1987,03-29,1
1987-03-30,1987,03-30,1
1987-03-31,1987,03-31,1
1987-04-01,1987,04-01,1
1987-04-02,1987,04-02,1
1987-04-03,1987,04-03,1
1987-04-04,1987,04-04,1
1988-03-17,1988,03-17,1
1988-03-18,1988,03-18,1
1988-03-19,1988,03-19,1
1988-03-20,1988,03-20,1
1988-03-21,1988,03-21,1
1988-03-22,1988,03-22,1
1988-03-23,1988,03-23,1
1988-03-24,1988,03-24,1
1988-03-25,1988,03-25,1
1988-03-26,1988,03-26,1
1988-03-27,1988,03-27,1
1988-03-28,1988,03-28,1
1988-03-29,1988,03-29,1
1988-03-30,1988,03-30,1
1988-03-31,1988,03-31,1
1988-04-01,1988,04-01,1
1988-04-02,1988,04-02,1
1988-04-03,1988,04-03,1
1988-04-04,1988,04-04,1
1988-04-05,1988,04-05,1
1988-04-06,1988,04-06,1
1988-04-07,1988,04-07,1
1989-03-15,1989,03-15,1
1989-03-16,1989,03-16,1
1989-03-17,1989,03-17,1
1989-03-18,1989,03-18,1
1989-03-19,1989,03-19,1
1989-03-20,1989,03-20,1
1989-03-21,1989,03-21,1
1989-03-22,1989,03-22,1
1989-03-23,1989,03-23,1
1989-03-24,1989,03-24,1
1989-03-25,1989,03-25,1
1989-03-26,1989,03-26,1
1989-03-27,1989,03-27,1
1989-03-28,1989,03-28,1
1989-03-29,1989,03-29,1
1989-03-30,1989,03-30,1
1989-03-31,1989,03-31,1
1989-04-01,1989,04-01,1
1989-04-02,1989,04-02,1
1989-04-03,1989,04-03,1
1989-04-04,1989,04-04,1
1989-04-05,1989,04-05,1
1990-03-01,1990,03-01,1
1990-03-02,1990,03-02,1
1990-03-03,1990,03-03,1
1990-03-04,1990,03-04,1
1990-03-05,1990,03-05,1
1990-03-06,1990,03-06,1
1990-03-07,1990,03-07,1
1990-03-08,1990,03-08,1
1990-03-09,1990,03-09,1
1990-03-10,1990,03-10,1
1990-03-11,1990,03-11,1
1990-03-12,1990,03-12,1
1990-03-13,1990,03-13,1
1990-03-14,1990,03-14,1
1990-03-15,1990,03-15,1
1990-03-16,1990,03-16,1
1990-03-17,1990,03-17,1
1990-03-18,1990,03-18,1
1990-03-19,1990,03-19,1
1990-03-20,1990,03-20,1
1990-03-21,1990,03-21,1
1990-03-22,1990,03-22,1
1991-03-15,1991,03-15,1
1991-03-16,1991,03-16,1
1991-03-17,1991,03-17,1
1991-03-18,1991,03-18,1
1991-03-19,1991,03-19,1
1991-03-20,1991,03-20,1
1991-03-21,1991,03-21,1
1991-03-22,1991,03-22,1
1991-03-23,1991,03-23,1
1991-03-24,1991,03-24,1
1991-03-25,1991,03-25,1
1991-03-26,1991,03-26,1
1991-03-27,1991,03-27,1
1991-03-28,1991,03-28,1
1991-03-29,1991,03-29,1
1991-03-30,1991,03-30,1
1991-03-31,1991,03-31,1
1991-04-01,1991,04-01,1
1991-04-02,1991,04-02,1
1991-04-03,1991,04-03,1
1991-04-04,1991,04-04,1
1991-04-05,1991,04-05,1
1992-03-24,1992,03-24,1
1992-03-25,1992,03-25,1
1992-03-26,1992,03-26,1
1992-03-27,1992,03-27,1
1992-03-28,1992,03-28,1
1992-03-29,1992,03-29,1
1992-03-30,1992,03-30,1
1992-03-31,1992,03-31,1
1992-04-01,1992,04-01,1
1992-04-02,1992,04-02,1
1992-04-03,1992,04-03,1
1992-04-04,1992,04-04,1
1992-04-05,1992,04-05,1
1992-04-06,1992,04-06,1
1992-04-07,1992,04-07,1
1992-04-08,1992,04-08,1
1992-04-09,1992,04-09,1
1992-04-10,1992,04-10,1
1992-04-11,1992,04-11,1
1992-04-12,1992,04-12,1
1992-04-13,1992,04-13,1
1992-04-14,1992,04-14,1
1993-03-28,1993,03-28,1
1993-03-29,1993,03-29,1
1993-03-30,1993,03-30,1
1993-03-31,1993,03-31,1
1993-04-01,1993,04-01,1
1993-04-02,1993,04-02,1
1993-04-03,1993,04-03,1
1993-04-04,1993,04-04,1
1993-04-05,1993,04-05,1
1993-04-06,1993,04-06,1
1993-04-07,1993,04-07,1
1993-04-08,1993,04-08,1
1993-04-09,1993,04-09,1
1993-04-10,1993,04-10,1
1993-04-11,1993,04-11,1
1993-04-12,1993,04-12,1
1993-04-13,1993,04-13,1
1993-04-14,1993,04-14,1
1993-04-15,1993,04-15,1
1993-04-16,1993,04-16,1
1993-04-17,1993,04-17,1
1993-04-18,1993,04-18,1
1994-03-22,1994,03-22,1
1994-03-23,1994,03-23,1
1994-03-24,1994,03-24,1
1994-03-25,1994,03-25,1
1994-03-26,1994,03-26,1
1994-03-27,1994,03-27,1
1994-03-28,1994,03-28,1
1994-03-29,1994,03-29,1
1994-03-30,1994,03-30,1
1994-03-31,1994,03-31,1
1994-04-01,1994,04-01,1
1994-04-02,1994,04-02,1
1994-04-03,1994,04-03,1
1994-04-04,1994,04-04,1
1994-04-05,1994,04-05,1
1994-04-06,1994,04-06,1
1994-04-07,1994,04-07,1
1994-04-08,1994,04-08,1
1994-04-09,1994,04-09,1
1994-04-10,1994,04-10,1
1994-04-11,1994,04-11,1
1994-04-12,1994,04-12,1
1995-03-19,1995,03-19,1
1995-03-20,1995,03-20,1
1995-03-21,1995,03-21,1
1995-03-22,1995,03-22,1
1995-03-23,1995,03-23,1
1995-03-24,1995,03-24,1
1995-03-25,1995,03-25,1
1995-03-26,1995,03-26,1
1995-03-27,1995,03-27,1
1995-03-28,1995,03-28,1
1995-03-29,1995,03-29,1
1995-03-30,1995,03-30,1
1995-03-31,1995,03-31,1
1995-04-01,1995,04-01,1
1995-04-02,1995,04-02,1
1995-04-03,1995,04-03,1
1995-04-04,1995,04-04,1
1995-04-05,1995,04-05,1
1995-04-06,1995,04-06,1
1995-04-07,1995,04-07,1
1995-04-08,1995,04-08,1
1995-04-09,1995,04-09,1
1996-03-21,1996,03-21,1
1996-03-22,1996,03-22,1
1996-03-23,1996,03-23,1
1996-03-24,1996,03-24,1
1996-03-25,1996,03-25,1
1996-03-26,1996,03-26,1
1996-03-27,1996,03-27,1
1996-03-28,1996,03-28,1
1996-03-29,1996,03-29,1
1996-03-30,1996,03-30,1
1996-03-31,1996,03-31,1
1996-04-01,1996,04-01,1
1996-04-02,1996,04-02,1
1996-04-03,1996,04-03,1
1996-04-04,1996,04-04,1
1996-04-05,1996,04-05,1
1996-04-06,1996,04-06,1
1996-04-07,1996,04-07,1
1996-04-08,1996,04-08,1
1996-04-09,1996,04-09,1
1996-04-10,1996,04-10,1
1996-04-11,1996,04-11,1
1997-03-12,1997,03-12,1
1997-03-13,1997,03-13,1
1997-03-14,1997,03-14,1
1997-03-15,1997,03-15,1
1997-03-16,1997,03-16,1
1997-03-17,1997,03-17,1
1997-03-18,1997,03-18,1
1997-03-19,1997,03-19,1
1997-03-20,1997,03-20,1
1997-03-21,1997,03-21,1
1997-03-22,1997,03-22,1
1997-03-23,1997,03-23,1
1997-03-24,1997,03-24,1
1997-03-25,1997,03-25,1
1997-03-26,1997,03-26,1
1997-03-27,1997,03-27,1
1997-03-28,1997,03-28,1
1997-03-29,1997,03-29,1
1997-03-30,1997,03-30,1
1997-03-31,1997,03-31,1
1997-04-01,1997,04-01,1
1997-04-02,1997,04-02,1
1998-03-13,1998,03-13,1
1998-03-14,1998,03-14,1
1998-03-15,1998,03-15,1
1998-03-16,1998,03-16,1
1998-03-17,1998,03-17,1
1998-03-18,1998,03-18,1
1998-03-19,1998,03-19,1
1998-03-20,1998,03-20,1
1998-03-21,1998,03-21,1
1998-03-22,1998,03-22,1
1998-03-23,1998,03-23,1
1998-03-24,1998,03-24,1
1998-03-25,1998,03-25,1
1998-03-26,1998,03-26,1
1998-03-27,1998,03-27,1
1998-03-28,1998,03-28,1
1998-03-29,1998,03-29,1
1998-03-30,1998,03-30,1
1998-03-31,1998,03-31,1
1998-04-01,1998,04-01,1
1998-04-02,1998,04-02,1
1998-04-03,1998,04-03,1
1999-03-22,1999,03-22,1
1999-03-23,1999,03-23,1
1999-03-24,1999,03-24,1
1999-03-25,1999,03-25,1
1999-03-26,1999,03-26,1
1999-03-27,1999,03-27,1
1999-03-28,1999,03-28,1
1999-03-29,1999,03-29,1
1999-03-30,1999,03-30,1
1999-03-31,1999,03-31,1
1999-04-01,1999,04-01,1
1999-04-02,1999,04-02,1
1999-04-03,1999,04-03,1
1999-04-04,1999,04-04,1
1999-04-05,1999,04-05,1
1999-04-06,1999,04-06,1
1999-04-07,1999,04-07,1
1999-04-08,1999,04-08,1
1999-04-09,1999,04-09,1
1999-04-10,1999,04-10,1
1999-04-11,1999,04-11,1
1999-04-12,1999,04-12,1
2000-03-03,2000,03-03,1
2000-03-04,2000,03-04,1
2000-03-05,2000,03-05,1
2000-03-06,2000,03-06,1
2000-03-07,2000,03-07,1
2000-03-08,2000,03-08,1
2000-03-09,2000,03-09,1
2000-03-10,2000,03-10,1
2000-03-11,2000,03-11,1
2000-03-12,2000,03-12,1
2000-03-13,2000,03-13,1
2000-03-14,2000,03-14,1
2000-03-15,2000,03-15,1
2000-03-16,2000,03-16,1
2000-03-17,2000,03-17,1
2000-03-18,2000,03-18,1
2000-03-19,2000,03-19,1
2000-03-20,2000,03-20,1
2000-03-21,2000,03-21,1
2000-03-22,2000,03-22,1
2000-03-23,2000,03-23,1
2000-03-24,2000,03-24,1
2001-03-23,2001,03-23,1
2001-03-24,2001,03-24,1
2001-03-25,2001,03-25,1
2001-03-26,2001,03-26,1
2001-03-27,2001,03-27,1
2001-03-28,2001,03-28,1
2001-03-29,2001,03-29,1
2001-03-30,2001,03-30,1
2001-03-31,2001,03-31,1
2001-04-01,2001,04-01,1
2001-04-02,2001,04-02,1
2001-04-03,2001,04-03,1
2001-04-04,2001,04-04,1
2001-04-05,2001,04-05,1
2001-04-06,2001,04-06,1
2001-04-07,2001,04-07,1
2001-04-08,2001,04-08,1
2001-04-09,2001,04-09,1
2001-04-10,2001,04-10,1
2001-04-11,2001,04-11,1
2001-04-12,2001,04-12,1
2001-04-13,2001,04-13,1
2002-03-19,2002,03-19,1
2002-03-20,2002,03-20,1
2002-03-21,2002,03-21,1
2002-03-22,2002,03-22,1
2002-03-23,2002,03-23,1
2002-03-24,2002,03-24,1
2002-03-25,2002,03-25,1
2002-03-26,2002,03-26,1
2002-03-27,2002,03-27,1
2002-03-28,2002,03-28,1
2002-03-29,2002,03-29,1
2002-03-30,2002,03-30,1
2002-03-31,2002,03-31,1
2002-04-01,2002,04-01,1
2002-04-02,2002,04-02,1
2002-04-03,2002,04-03,1
2002-04-04,2002,04-04,1
2002-04-05,2002,04-05,1
2002-04-06,2002,04-06,1
2002-04-07,2002,04-07,1
2002-04-08,2002,04-08,1
2002-04-09,2002,04-09,1
2003-03-19,2003,03-19,1
2003-03-20,2003,03-20,1
2003-03-21,2003,03-21,1
2003-03-22,2003,03-22,1
2003-03-23,2003,03-23,1
2003-03-24,2003,03-24,1
2003-03-25,2003,03-25,1
2003-03-26,2003,03-26,1
2003-03-27,2003,03-27,1
2003-03-28,2003,03-28,1
2003-03-29,2003,03-29,1
2003-03-30,2003,03-30,1
2003-03-31,2003,03-31,1
2003-04-01,2003,04-01,1
2003-04-02,2003,04-02,1
2003-04-03,2003,04-03,1
2003-04-04,2003,04-04,1
2003-04-05,2003,04-05,1
2003-04-06,2003,04-06,1
2003-04-07,2003,04-07,1
2003-04-08,2003,04-08,1
2003-04-09,2003,04-09,1
2004-03-17,2004,03-17,1
2004-03-18,2004,03-18,1
2004-03-19,2004,03-19,1
2004-03-20,2004,03-20,1
2004-03-21,2004,03-21,1
2004-03-22,2004,03-22,1
2004-03-23,2004,03-23,1
2004-03-24,2004,03-24,1
2004-03-25,2004,03-25,1
2004-03-26,2004,03-26,1
2004-03-27,2004,03-27,1
2004-03-28,2004,03-28,1
2004-03-29,2004,03-29,1
2004-03-30,2004,03-30,1
2004-03-31,2004,03-31,1
2004-04-01,2004,04-01,1
2004-04-02,2004,04-02,1
2004-04-03,2004,04-03,1
2004-04-04,2004,04-04,1
2004-04-05,2004,04-05,1
2004-04-06,2004,04-06,1
2004-04-07,2004,04-07,1
2005-03-26,2005,03-26,1
2005-03-27,2005,03-27,1
2005-03-28,2005,03-28,1
2005-03-29,2005,03-29,1
2005-03-30,2005,03-30,1
2005-03-31,2005,03-31,1
2005-04-01,2005,04-01,1
2005-04-02,2005,04-02,1
2005-04-03,2005,04-03,1
2005-04-04,2005,04-04,1
2005-04-05,2005,04-05,1
2005-04-06,2005,04-06,1
2005-04-07,2005,04-07,1
2005-04-08,2005,04-08,1
2005-04-09,2005,04-09,1
2005-04-10,2005,04-10,1
2005-04-11,2005,04-11,1
2005-04-12,2005,04-12,1
2005-04-13,2005,04-13,1
2005-04-14,2005,04-14,1
2005-04-15,2005,04-15,1
2005-04-16,2005,04-16,1
2006-03-16,2006,03-16,1
2006-03-17,2006,03-17,1
2006-03-18,2006,03-18,1
2006-03-19,2006,03-19,1
2006-03-20,2006,03-20,1
2006-03-21,2006,03-21,1
2006-03-22,2006,03-22,1
2006-03-23,2006,03-23,1
2006-03-24,2006,03-24,1
2006-03-25,2006,03-25,1
2006-03-26,2006,03-26,1
2006-03-27,2006,03-27,1
2006-03-28,2006,03-28,1
2006-03-29,2006,03-29,1
2006-03-30,2006,03-30,1
2006-03-31,2006,03-31,1
2006-04-01,2006,04-01,1
2006-04-02,2006,04-02,1
2006-04-03,2006,04-03,1
2006-04-04,2006,04-04,1
2006-04-05,2006,04-05,1
2006-04-06,2006,04-06,1
2007-03-18,2007,03-18,1
2007-03-19,2007,03-19,1
2007-03-20,2007,03-20,1
2007-03-21,2007,03-21,1
2007-03-22,2007,03-22,1
2007-03-23,2007,03-23,1
2007-03-24,2007,03-24,1
2007-03-25,2007,03-25,1
2007-03-26,2007,03-26,1
2007-03-27,2007,03-27,1
2007-03-28,2007,03-28,1
2007-03-29,2007,03-29,1
2007-03-30,2007,03-30,1
2007-03-31,2007,03-31,1
2007-04-01,2007,04-01,1
2007-04-02,2007,04-02,1
2007-04-03,2007,04-03,1
2007-04-04,2007,04-04,1
2007-04-05,2007,04-05,1
2007-04-06,2007,04-06,1
2007-04-07,2007,04-07,1
2007-04-08,2007,04-08,1
2008-03-12,2008,03-12,1
2008-03-13,2008,03-13,1
2008-03-14,2008,03-14,1
2008-03-15,2008,03-15,1
2008-03-16,2008,03-16,1
2008-03-17,2008,03-17,1
2008-03-18,2008,03-18,1
2008-03-19,2008,03-19,1
2008-03-20,2008,03-20,1
2008-03-21,2008,03-21,1
2008-03-22,2008,03-22,1
2008-03-23,2008,03-23,1
2008-03-24,2008,03-24,1
2008-03-25,2008,03-25,1
2008-03-26,2008,03-26,1
2008-03-27,2008,03-27,1
2008-03-28,2008,03-28,1
2008-03-29,2008,03-29,1
2008-03-30,2008,03-30,1
2008-03-31,2008,03-31,1
2008-04-01,2008,04-01,1
2008-04-02,2008,04-02,1
2009-03-18,2009,03-18,1
2009-03-19,2009,03-19,1
2009-03-20,2009,03-20,1
2009-03-21,2009,03-21,1
2009-03-22,2009,03-22,1
2009-03-23,2009,03-23,1
2009-03-24,2009,03-24,1
2009-03-25,2009,03-25,1
2009-03-26,2009,03-26,1
2009-03-27,2009,03-27,1
2009-03-28,2009,03-28,1
2009-03-29,2009,03-29,1
2009-03-30,2009,03-30,1
2009-03-31,2009,03-31,1
2009-04-01,2009,04-01,1
2009-04-02,2009,04-02,1
2009-04-03,2009,04-03,1
2009-04-04,2009,04-04,1
2009-04-05,2009,04-05,1
2009-04-06,2009,04-06,1
2009-04-07,2009,04-07,1
2009-04-08,2009,04-08,1
2010-03-17,2010,03-17,1
2010-03-18,2010,03-18,1
2010-03-19,2010,03-19,1
2010-03-20,2010,03-20,1
2010-03-21,2010,03-21,1
2010-03-22,2010,03-22,1
2010-03-23,2010,03-23,1
2010-03-24,2010,03-24,1
2010-03-25,2010,03-25,1
2010-03-26,2010,03-26,1
2010-03-27,2010,03-27,1
2010-03-28,2010,03-28,1
2010-03-29,2010,03-29,1
2010-03-30,2010,03-30,1
2010-03-31,2010,03-31,1
2010-04-01,2010,04-01,1
2010-04-02,2010,04-02,1
2010-04-03,2010,04-03,1
2010-04-04,2010,04-04,1
2010-04-05,2010,04-05,1
2010-04-06,2010,04-06,1
2010-04-07,2010,04-07,1
2011-03-15,2011,03-15,1
2011-03-16,2011,03-16,1
2011-03-17,2011,03-17,1
2011-03-18,2011,03-18,1
2011-03-19,2011,03-19,1
2011-03-20,2011,03-20,1
2011-03-21,2011,03-21,1
2011-03-22,2011,03-22,1
2011-03-23,2011,03-23,1
2011-03-24,2011,03-24,1
2011-03-25,2011,03-25,1
2011-03-26,2011,03-26,1
2011-03-27,2011,03-27,1
2011-03-28,2011,03-28,1
2011-03-29,2011,03-29,1
2011-03-30,2011,03-30,1
2011-03-31,2011,03-31,1
2011-04-01,2011,04-01,1
2011-04-02,2011,04-02,1
2011-04-03,2011,04-03,1
2011-04-04,2011,04-04,1
2011-04-05,2011,04-05,1
2012-03-06,2012,03-06,1
2012-03-07,2012,03-07,1
2012-03-08,2012,03-08,1
2012-03-09,2012,03-09,1
2012-03-10,2012,03-10,1
2012-03-11,2012,03-11,1
2012-03-12,2012,03-12,1
2012-03-13,2012,03-13,1
2012-03-14,2012,03-14,1
2012-03-15,2012,03-15,1
2012-03-16,2012,03-16,1
2012-03-17,2012,03-17,1
2012-03-18,2012,03-18,1
2012-03-19,2012,03-19,1
2012-03-20,2012,03-20,1
2012-03-21,2012,03-21,1
2012-03-22,2012,03-22,1
2012-03-23,2012,03-23,1
2012-03-24,2012,03-24,1
2012-03-25,2012,03-25,1
2012-03-26,2012,03-26,1
2012-03-27,2012,03-27,1
2013-03-26,2013,03-26,1
2013-03-27,2013,03-27,1
2013-03-28,2013,03-28,1
2013-03-29,2013,03-29,1
2013-03-30,2013,03-30,1
2013-03-31,2013,03-31,1
2013-04-01,2013,04-01,1
2013-04-02,2013,04-02,1
2013-04-03,2013,04-03,1
2013-04-04,2013,04-04,1
2013-04-05,2013,04-05,1
2013-04-06,2013,04-06,1
2013-04-07,2013,04-07,1
2013-04-08,2013,04-08,1
2013-04-09,2013,04-09,1
2013-04-10,2013,04-10,1
2013-04-11,2013,04-11,1
2013-04-12,2013,04-12,1
2013-04-13,2013,04-13,1
2013-04-14,2013,04-14,1
2013-04-15,2013,04-15,1
2013-04-16,2013,04-16,1
2014-03-27,2014,03-27,1
2014-03-28,2014,03-28,1
2014-03-29,2014,03-29,1
2014-03-30,2014,03-30,1
2014-03-31,2014,03-31,1
2014-04-01,2014,04-01,1
2014-04-02,2014,04-02,1
2014-04-03,2014,04-03,1
2014-04-04,2014,04-04,1
2014-04-05,2014,04-05,1
2014-04-06,2014,04-06,1
2014-04-07,2014,04-07,1
2014-04-08,2014,04-08,1
2014-04-09,2014,04-09,1
2014-04-10,2014,04-10,1
2014-04-11,2014,04-11,1
2014-04-12,2014,04-12,1
2014-04-13,2014,04-13,1
2014-04-14,2014,04-14,1
2014-04-15,2014,04-15,1
2014-04-16,2014,04-16,1
2014-04-17,2014,04-17,1
2015-03-27,2015,03-27,1
2015-03-28,2015,03-28,1
2015-03-29,2015,03-29,1
2015-03-30,2015,03-30,1
2015-03-31,2015,03-31,1
2015-04-01,2015,04-01,1
2015-04-02,2015,04-02,1
2015-04-03,2015,04-03,1
2015-04-04,2015,04-04,1
2015-04-05,2015,04-05,1
2015-04-06,2015,04-06,1
2015-04-07,2015,04-07,1
2015-04-08,2015,04-08,1
2015-04-09,2015,04-09,1
2015-04-10,2015,04-10,1
2015-04-11,2015,04-11,1
2015-04-12,2015,04-12,1
2015-04-13,2015,04-13,1
2015-04-14,2015,04-14,1
2015-04-15,2015,04-15,1
2015-04-16,2015,04-16,1
2015-04-17,2015,04-17,1
